                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4537,                0.96187,                  1.506,                 1.5022,                 1.1796,                 1.5116,                0.71899,                0.63952,                0.70902,                0.32429,                 1.8066,                    1.1,                 1.7135,                 1.8183,                 1.3321,                 1.6854,             0.00046412,             0.00046412,             0.00046412
                      2,                 1.5107,                 1.0013,                 1.5186,                  1.537,                 1.2083,                 1.5155,                0.63762,                0.56018,                0.62666,                0.27203,                  1.874,                 1.2585,                  1.755,                 1.8818,                 1.4558,                 1.7385,             0.00092183,             0.00092183,             0.00092183
                      3,                 1.5511,                 1.0761,                 1.5397,                  1.563,                 1.2744,                 1.5086,                0.57672,                 0.6224,                0.63216,                0.29237,                 1.8086,                 1.4612,                 1.7337,                 1.8254,                 1.5801,                 1.6973,              0.0013607,              0.0013607,              0.0013607
                      4,                 1.6055,                 1.0945,                 1.5841,                 1.6423,                 1.2631,                 1.5691,                0.55681,                0.49792,                0.54954,                0.24021,                 1.8912,                 1.4538,                 1.7838,                 1.9324,                 1.6864,                 1.7913,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.6658,                 1.1438,                 1.5971,                 1.6691,                 1.2798,                 1.5522,                0.59489,                0.59957,                0.59948,                0.26607,                 1.8739,                 1.3122,                 1.7936,                 1.8664,                 1.3969,                 1.7115,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5616,                 1.0655,                  1.552,                 1.6023,                 1.2098,                  1.533,                0.69108,                0.57812,                0.62785,                0.26651,                 1.9418,                 1.2954,                 1.8132,                 1.9613,                 1.4919,                 1.7873,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.6102,                 1.0838,                 1.5753,                 1.6032,                 1.1963,                 1.5374,                0.75936,                0.51088,                 0.5509,                 0.2655,                 1.7888,                 1.2325,                 1.6699,                 1.8489,                 1.3756,                 1.6787,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.5889,                 1.0166,                 1.5675,                 1.6324,                 1.1136,                 1.5553,                0.58193,                0.65414,                0.66585,                0.31586,                 1.7594,                 1.1213,                  1.669,                 1.8189,                 1.2313,                 1.6898,              0.0012592,              0.0012592,              0.0012592
                      9,                  1.554,                 1.0199,                 1.5641,                 1.6038,                 1.1168,                 1.5669,                0.63947,                0.58713,                  0.636,                0.30134,                 1.7823,                 1.1536,                 1.6927,                 1.8239,                 1.2865,                 1.6894,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.5404,                0.99527,                 1.5305,                 1.5671,                 1.0987,                 1.5037,                0.56308,                 0.5472,                0.59028,                0.27718,                 1.8046,                 1.2502,                  1.706,                 1.8148,                 1.3736,                 1.6885,              0.0012026,              0.0012026,              0.0012026
